fight_id,event_id,fighter_1_id,fighter_2_id,event_date,event_year
296,24,3542,2266,2025-05-17,2025
296,24,2266,3542,2025-05-17,2025
297,24,1407,3263,2025-05-17,2025
297,24,3263,1407,2025-05-17,2025
298,24,3013,1651,2025-05-17,2025
298,24,1651,3013,2025-05-17,2025
299,24,3071,3147,2025-05-17,2025
299,24,3147,3071,2025-05-17,2025
300,25,924,2730,2025-05-10,2025
300,25,2730,924,2025-05-10,2025
301,25,3650,1217,2025-05-10,2025
301,25,1217,3650,2025-05-10,2025
302,25,4410,64,2025-05-10,2025
302,25,64,4410,2025-05-10,2025
303,25,3700,1479,2025-05-10,2025
303,25,1479,3700,2025-05-10,2025
304,25,3463,3179,2025-05-10,2025
304,25,3179,3463,2025-05-10,2025
305,25,2396,3218,2025-05-10,2025
305,25,3218,2396,2025-05-10,2025
306,25,1839,144,2025-05-10,2025
306,25,144,1839,2025-05-10,2025
307,25,514,842,2025-05-10,2025
307,25,842,514,2025-05-10,2025
308,25,3862,1122,2025-05-10,2025
308,25,1122,3862,2025-05-10,2025
309,25,282,3697,2025-05-10,2025
309,25,3697,282,2025-05-10,2025
310,25,3540,2199,2025-05-10,2025
310,25,2199,3540,2025-05-10,2025
311,25,91,1973,2025-05-10,2025
311,25,1973,91,2025-05-10,2025
312,26,3506,1202,2025-05-03,2025
312,26,1202,3506,2025-05-03,2025
313,26,909,2836,2025-05-03,2025
313,26,2836,909,2025-05-03,2025
314,26,3373,3160,2025-05-03,2025
314,26,3160,3373,2025-05-03,2025
315,26,1822,2414,2025-05-03,2025
315,26,2414,1822,2025-05-03,2025
316,26,3673,3766,2025-05-03,2025
316,26,3766,3673,2025-05-03,2025
317,26,1908,3852,2025-05-03,2025
317,26,3852,1908,2025-05-03,2025
318,26,3536,3961,2025-05-03,2025
318,26,3961,3536,2025-05-03,2025
319,26,315,2276,2025-05-03,2025
319,26,2276,315,2025-05-03,2025
320,26,3350,3372,2025-05-03,2025
320,26,3372,3350,2025-05-03,2025
321,26,2178,401,2025-05-03,2025
321,26,401,2178,2025-05-03,2025
322,26,3104,2491,2025-05-03,2025
322,26,2491,3104,2025-05-03,2025
323,26,2611,3110,2025-05-03,2025
323,26,3110,2611,2025-05-03,2025
324,27,2344,3176,2025-04-26,2025
324,27,3176,2344,2025-04-26,2025
325,27,4429,3752,2025-04-26,2025
325,27,3752,4429,2025-04-26,2025
326,27,2943,677,2025-04-26,2025
326,27,677,2943,2025-04-26,2025
327,27,2369,3077,2025-04-26,2025
327,27,3077,2369,2025-04-26,2025
328,27,485,852,2025-04-26,2025
328,27,852,485,2025-04-26,2025
329,27,82,2739,2025-04-26,2025
329,27,2739,82,2025-04-26,2025
330,27,3588,1228,2025-04-26,2025
330,27,1228,3588,2025-04-26,2025
331,27,1082,4402,2025-04-26,2025
331,27,4402,1082,2025-04-26,2025
332,27,1532,633,2025-04-26,2025
